user name,user Url,city,Contribution,review Title,review Url,Review Details,expe date
Destination610436 wrote a review Aug 2020,/Profile/Destination610436,,12 contributions,Gorgeous,/ShowUserReviews-g616035-d2664481-r765506237-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Our room was fabulous and we had a wonderful view of moneys, deer and kingfishers right outside. The food was fantastic, as was the service we received. This hotel is very popular with foreign tourists and it is normally very difficult to secure a booking and then it is normally very expensive. We were lucky enough to secure a room at a lower rate as a resident of Sri Lanka during Covid times. Do be patient on arrival as check in takes some time due to strict adherence to Covid guidelines, you are however pre-warned of this in email confirmation. Our check in process was lengthy and we eventually arrived in our room at 3.15pm. Therefore, as we could only secure a booking for 1 night our break was not as relaxing as we hoped.",Date of stay: August 2020
Sulakshana S wrote a review Aug 2020,/Profile/sulakshanas2013,"Colombo, Sri Lanka",35 contributions,Probably the best in Ella....but....,/ShowUserReviews-g616035-d2664481-r763021781-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We paid a deal price which was a decent price but wouldnt pay what they normally charge and consider the place to be worth what was paid. The service of the staff especially restaurant staff and 98 adventures was excellent!  View from Greenland Suite was rubbish as there was replanting of the tea bushes going on and we were staring at brown open land and not the lush greenery we were expecting. Bed in the Greenland Suite needs replacing...mattress was sunken in in places and the entire bed creaked! if you want to get jiggy on it it might collapse! thankfully I went with 2 girl friends :) Best views are from the rooms opposite the restaurant. Maybe insist on that when you book. If you want to try out the ATV take your driving license with u, they didnt mention this to us at the reception and we had to make a trip back to collect the licence and one girl didnt have it on her in Ella at all. Luckily she was able to get her bro to send a pic. No AC. We were fine as it was raining and didnt need AC but it can get hot if there is no rain. Meals were lovely and did I mention the service was great?!!? The service is what tipped this review from a 3 star to a 4 star!",Date of stay: July 2020
Sanjaya Wijewardana wrote a review Aug 2020,/Profile/591sanjayaw,"Homagama, Sri Lanka",2 contributions,"Best Hotel in Ella,Lanka.",/ShowUserReviews-g616035-d2664481-r762953239-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,It is a great place to relax and a great place to experience the beauty of the natural environment.The food and drink delicacy would have been more appropriate if the buffet method had been used for that.,Date of stay: August 2020
Miuru Rupasinghe wrote a review Jul 2020,/Profile/miurur,"Colombo, Sri Lanka",3 contributions,Beautiful location with Hospitality,/ShowUserReviews-g616035-d2664481-r762489644-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,Beautiful location with all the facilities arranged specially for couples. Thank you for great hospitality and delicious foods. Hotel room arrangement as well as the supporting staff is doing a wonderful job with buddy service,Date of stay: July 2020
Teshan F wrote a review Jul 2020,/Profile/teshanf2018,"Moratuwa, Sri Lanka",2 contributions,Best experience ever had after the pandemic situation,/ShowUserReviews-g616035-d2664481-r762307974-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"I would like to give my honest review in the customer service of each an every employer at the hotel. Starting from the reception & till the date we checked out, every staff member was very helpful & proactive. Always tried to serve us with the best. & also i really liked the disinfection process which the hotel carries out just after every guest checks out of the room. Because of the safety precautions & the pandemic situation we cannot expect certain things to be usual as before. So im really happy with the stay. Thank you so much team. Keep up the good work. Good example to the hospitality industry.thumbs up!",Date of stay: July 2020
Shashika K wrote a review Jul 2020,/Profile/Departure05746450682,,1 contribution,Good Place to Stay,/ShowUserReviews-g616035-d2664481-r761920968-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"The hotel is superb and very relaxing. Eco friendly environment. Friendly staff.It has nice location and view. Went to the little adams peak early in the morning and the view is superb. And also got a tuktuk ride to the nine arch bridge. Really nice place.Only downside is the choice of food. The set menu had fairly limited options. There isn't any selection for appetizers and soup. I had to bear with the appetizer and soup mentioned in the set menu. For main course there were few options, had to select one of them. For dessert I had to select 1 out of 2 options mentioned. Which is really disappointing. And also the children’s set menu is also a disaster. The only option was to choose from the ALA CARTE which I did paying extra.Although the food varieties are limited, the food is really tasty. Have to compliment the chef. And also I have to mention that the staff is very supportive.Overall I enjoyed a lot staying here. Good place for a relaxing vacation. Hopefully food choices will improve after the covid situation.",Date of stay: July 2020
SJBW2014 wrote a review Jul 2020,/Profile/SJBW2014,"Syderstone, United Kingdom",9 contributions,Still waiting refund,/ShowUserReviews-g616035-d2664481-r761076394-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,We were due to stay in March 2020 and because of COVID and the country lockdown we had to leave and the hotel was closed. On 19 March I received an email from the hotel stating we would receive a refund within 29 days. Despite numerous (unanswered) emails since then we have still not received the refund.,Date of stay: March 2020
hanwells1981 wrote a review Jul 2020,/Profile/hanwells1981,"Colombo, Sri Lanka",53 contributions,Magical Mountain Resort ,/ShowUserReviews-g616035-d2664481-r760587192-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,We stayed in a Grand Executive Suite which had a pool ...I had high expectations but the stay surpassed every one of them. The most beautiful location I've seen in Sri Lanka with lots to do in the area as well as without leaving the hotel. The room was a perfect place to nature/bird watch and to just enjoy the view and watch the world go by. The food was outstanding as was the service we received from all the staff especially our butler Oshan. Thank you for a truly magical stay.,Date of stay: July 2020
Ravi W wrote a review Jul 2020,/Profile/540raviw,"Colombo, Sri Lanka",289 contributions,Disappointed experience ,/ShowUserReviews-g616035-d2664481-r760329132-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Though the hotel is a award winning designation, I would say it’s overrated & service level is one of the worst based on what experienced during our one night stay. It ruined the entire trip. Though the hotel reception/ house keeping & others are really supportive & caring. Restaurant team was opposite of everything else. First they are not people friendly. Then they served the wrong items which didn’t order for our kids. When we asked them to return it & asked for what we ordered, waiter came back said they can’t change it. Where my colleague lost his patience & the the appetite as well. After the argument only he got what he ordered with a retaliation where our dessert got delayed more than 35 mins (banana fritters with ice cream). All 3 kids were waiting for it, but sadly though I have to take a call & walk away....end up buying them ice cream in Ella town. This is not the Sri Lankan hospitality we as customers expect. And I would never again visit 98 acres ever because of few idiots who doesn’t know how to treat their guests even in a worst economic situation like this.",Date of stay: July 2020
Malraj B wrote a review Jul 2020,/Profile/MalrajB,"Kandana, Sri Lanka",232 contributions,Stunning views of Ella Gap and Little Adam’s Peak.,/ShowUserReviews-g616035-d2664481-r759975202-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"My family always takes a family vacation to one of the hotels in Sri Lanka and this year we stayed at a 98 Acres hotel during the 1st week of July and with the ongoing pandemic situation in the country, they had taken all the precautions to ensure the safety of all the guests. I have visited many hotels in Sri Lanka but never seen a hotel like yours which is situated in a fabulous location and has spectacular views of the surroundings of the stunning landscape. We stayed in the grand executive suite rooms which were beautiful and we had our private plunge pool and we had the stunning views of Ella Gap and Little Adam’s Peak. The architecture of the hotel is magnificent as it blends well with nature and the chalets are all made of recyclable substance which was very impressive.The staff was extremely helpful all the time and they were very polite to us as well. All the meals we had were a-la-carte and the food was simply delicious. The service of the restaurant staff was always very welcoming. We even went on the mega zip line and that was one of the highlights of staying at the hotel. All in all it was an absolutely a great experience and an unforgettable one.",Date of stay: July 2020
Yohan A wrote a review Jul 2020,/Profile/yohana69,"Colombo, Sri Lanka",11 contributions,Overly Hyped up!,/ShowUserReviews-g616035-d2664481-r758978968-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,We visited the hotel on 19th June 2020 for one day. I would say given the situation (post covid-19) the food was great and we enjoyed the food very much. The cleanliness of the rooms was average and could be worked on in order to meet the high standards depicted in their website and fb pages. During our visit it was pretty warm and as they didn’t have air conditioning in the room it was pretty hard to fall asleep. Added to that there were inspects in the room which added to the problem. Lower your expectations before visiting this place as Shakespeare said “Expectations are the root of all heartaches”,Date of stay: June 2020
Sumudu Rajapaksha wrote a review Jul 2020,/Profile/sumudur2289,"Kaduwela, Sri Lanka",3 contributions,Best place to spend your holiday.....,/ShowUserReviews-g616035-d2664481-r758884155-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"EXCELLENT	GOOD	FAIR	POORRoom Reservations		 XBaggage Services			 XRooms						EXCELLENT	GOOD	FAIR	POORCleanliness				XComfort					XAmenities					XFacilities & services						EXCELLENT	GOOD	FAIR	POORSwimming Pool				                                           XEntertainment							    XHiking and Trekking		 XBird watching				 XRestaurant / Bar						                          EXCELLENT	GOOD	FAIR	POOROverall service at the restaurant		       XQuality of food / beverage				       XCleanliness of the restaurant			       X   	Overall experience                                                XStaff						EXCELLENT	GOOD	FAIR	POORFriendliness				  X Efficiency					  X",Date of stay: July 2020
Prashad De Silva wrote a review Jun 2020,/Profile/Prashaddesilva,,1 contribution,The Best in Ella,/ShowUserReviews-g616035-d2664481-r758554021-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"This was one of the priority thing in my ""TO DO LIST"" & thanks I made it ! This place is one of the best hotel in Ella & their service is in high standard . Room & the outdoor view is super . Foods are delicious . I recommend this place to everyone mostly who are nature lovers .",Date of stay: June 2020
Sunanda K wrote a review Jun 2020,/Profile/846sunandak,,8 contributions,Excellent holiday in a wonderful location,/ShowUserReviews-g616035-d2664481-r758411127-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"I was there with my family and it was an amazing two nights. View was breath taking from the Grand Executive Suite. Kids were happy with the private pool even though the water was cold. It would have been excellent if the pool was temperature controlled. Food was great and the staff was extremely attentive and supportive. Zip line ride was amazing and a must try ride. Setup is more closer to the nature and we can feel it. All in all, it was an amazing holiday.",Date of stay: June 2020
MOHAMED YOOSUF wrote a review Jun 2020,/Profile/MOHAMEDYOOSUF,"Galle, Sri Lanka",57 contributions,amazing hollyday,/ShowUserReviews-g616035-d2664481-r758267041-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,I was there with my family and my friends family. we really enjoyed the place /location and the weather. since we are from down south. overall the experience was amazing. the food was good. some interesting things to do around. highly recommended.,Date of stay: June 2020
Chiara P wrote a review Jun 2020,/Profile/chiarapY3146ZP,"Sri Jayawardenepura, Sri Lanka",17 contributions,Great stay!!..,/ShowUserReviews-g616035-d2664481-r757933269-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"It was a lovely stay, especially the mountain view from the executive suit is priceless. Food was superb and the staff is very welcoming. Our butler Oshan and Gamini and Chinthana from the restaurant were extremely supportive and attentive to us. A must try experience would be the zip line which is a great ride. Overall it is a lovely place for a time away from home.",Date of stay: June 2020
Laura G wrote a review Jun 2020,/Profile/lauraag90,"Sawtry, United Kingdom",80 contributions,Breathtaking location,/ShowUserReviews-g616035-d2664481-r757710810-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"This hotel is located just on the outskirts of the popular traveller town Ella. It is situated on the hillside offering spectacular views of Little Adams Peak and Ella rock. This is a very small boutique hotel and the rooms are absolutely stunning. The rooms as set in 2 story stone buildings with four rooms in each building so lovely and small. The room was very large and had an equally big balcony overlooking the view. The bathroom was big with a waterfall shower. The hotel is environmentally friendly and there are lots of little touches everywhere that are in line with this, including no plastic bottles in the bathroom. The restaurant is in an open sided building and offers a good range of food. Breakfast is a buffet style and dinner a la carte with traditional Sri Lanka, Asian and English options. Food was ok but service was not the best. There are lots of activities you can do while here, such as hiking, mountain biking, zip lining and it is also close to the famous nine arch bridge. We actually walked there but you can get a tuk tuk there. There is also a gym and spa. The infinity style pool is located next to the restaurant, while it’s not particularly big it was never busy. The views at this hotel speak for themselves. It makes for a truly unique hotel. I would have taken off half a point for the service in the restaurant as I feel this didn’t really match up to the overall quality of the hotel but there is no denying that this a stunning hotel.",Date of stay: February 2020
Krishan Senarath SL wrote a review Jun 2020,/Profile/KrishanSL_Travel-,,3 contributions,Excellent place to spend your free time,/ShowUserReviews-g616035-d2664481-r757559059-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"It was really good experience to us.Rooms are well clean and have all facilities there.Bar and restaurant also very good.Foods also superb,There was great varity of foods.morning view from room is really beautiful,have no words to describe about climate.friendly staff and very secured place.Thank you",Date of stay: June 2020
Imesha S wrote a review Jun 2020,/Profile/imeshas2019,,2 contributions,Best Hotel Experience!,/ShowUserReviews-g616035-d2664481-r757059179-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"This hotel is one of the most beautiful hotels that you can visit here in Sri Lanka. If you are a nature lover, you cannot think of a better place to stay than 98 Acres..They have taken all the possible safety precautions. Love the food too!!",Date of stay: June 2020
ajaycmistry wrote a review May 2020,/Profile/ajaycmistry,,55 contributions,Unique view of tea plantation whilst having massage,/ShowUserReviews-g616035-d2664481-r753110886-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We didn't stay here, we just used the Spa. This place has a unique view over the tea plantations. We went for our treatment session at 8.30 in the morning and could see the tea pickers from our treatment room whilst having a head massage. We recommend the coffee scrub - so different and energising. Definitely recommend booking in advance as they get booked up quickly. A bit pricey but justified because it is luxurious.",Date of stay: January 2020
broggo14 wrote a review Apr 2020,/Profile/broggo14,"Victoria, Australia",355 contributions,Brilliant place,/ShowUserReviews-g616035-d2664481-r753005282-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"What a unique place to stay, set on the side of hill with uninterrupted views an absolute delight. Very different to most places we have stayed in the past so this made our time here more enjoyable. There is a bit of a walk, plenty of steps to the dinning area but you can get a buggy to transport you if you so wish. You can walk up Little Adams Peak from the hotel which we did, and got a TukTuk to the Nine Arch Bridge only 5 mins away.Unfortunately the spa and zip line were closed due to the covid virus in fact most of the businesses in Ella had shut a shame but understandable.The meals at the hotel were fantastic with great service.We would like to return in the future when this pandemic is over to fully enjoy the area and this Hotel.Best wishes to all the staff for the future.",Date of stay: March 2020
Shellbel wrote a review Apr 2020,/Profile/Shellbel49,"Sydney, Australia",6 contributions,Views that will delight,/ShowUserReviews-g616035-d2664481-r752774370-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,Loved the rooms and the location. So lovely starting and finishing the day with a view of little adams peak. The golf carts were very helpful when that climb was just to much in the wrong shoes. The spa was perfect and a lovely treat to have during this stay.,Date of stay: March 2020
bert391 wrote a review Apr 2020,/Profile/bert391,"Melbourne, Australia",75 contributions,FABULOUS VIEWS,/ShowUserReviews-g616035-d2664481-r752560817-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Having stayed at this resorts on a few previous occasions we keep coming back to this resort as the staff are very welcoming and friendly. Spacious rooms with comfortable bed with a mosquito net and a big balcony overlooking Little Adams Peak. Lovely to wake up in the morning and go out on the balcony and see the mist over the tea estate below. A very relaxing and interesting place with plenty of activities if you are so inclined. You can visit the 9 Arches Bridge, Ella Gap and climb Little Adams Peak from where you get amazing views. The restaurant is situated higher up from the thatched cottages and the set dinner menu (5 courses) quite substantial that we had to request smaller serves. The food was delicious and again at breakfast a variety of food was offered. When we next visit Sri Lanka this will be a definite resort we would stay at.",Date of stay: March 2020
Sophie D wrote a review Apr 2020,/Profile/SophieD3655,,5 contributions,Great view,/ShowUserReviews-g616035-d2664481-r752523811-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"The view from this hotel is incredible! Little adams peak was right in front of us, a great view to start the day. The staff were also lovely, very welcoming and friendly. We stayed in a standard room which had a balcony overlooking little adams peak. The rooms were lovely with a big balcony, comfy bed and great shower! The roof of our room was thatched and it seemed to have quite a lot of gaps in it so it felt a bit open to various animals who wanted to visit, I woke up to a squirrel on my bedside table one morning. The mosquito net on our bed didn’t really fit the bed. Lighting was also not great at night - quite dim and difficult to see, would have really benefitted from a couple of lamps to brighten things up. The walls also didn't go all the way up to the ceiling so not much in terms of privacy if you were going to the bathroom.The food was good, we had delicious meals both nights. They have a set menu with 5 (fairly substantial!) courses which seem to be compulsory. We tried to only have some of them but they kept bringing them all to us. A more relaxed menu where you could choose what you wanted depending on how hungry you were would have probably suited this hotel more.Little adams peak and the flying ravana zip line are an easy walk from the hotel - great way to spend an afternoon!",Date of stay: April 2020
2fromaus wrote a review Apr 2020,/Profile/2fromaus,"Sydney, Australia",166 contributions,Stunning Views,/ShowUserReviews-g616035-d2664481-r752459784-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"A good hotel with spacious rooms that were a little tired, however the views were absolutely magnificent.  Several activities or just relax in the hotel.  The staff were friendly and helpful, although on occasion we had odd experiences.  Good restaurant.  Adequate wifi.  We stayed in March 2019.",Date of stay: May 2019
1cjb wrote a review Mar 2020,/Profile/1cjb,"Wargrave, United Kingdom",23 contributions,Everybody said it was wonderful.......,/ShowUserReviews-g616035-d2664481-r751856362-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We weren't disappointed.  Whoever we told we were going to Sri Lanka, they all said you must go to 98 Acres.  So we did.  Ella is truly breath taking - the views are stunning.  We stayed for 3 nights and it was delightful.  Surrounded by tea plantations, mountains, far reaching views - it's a dream.  Our room was beautifully thought out, we had a lovely balcony, plenty of room and a large bathroom.  I'm not a particular fan of open topped bathrooms but we coped.  the room was spotlessly clean.  This was probably one of the nicest places that we ate in.  The restaurant was great, delicious freshly prepared food, a wine list, plenty of choice.  The breakfast was extensive and the staff were absolutely delightful.  The pool area was nicely presented with cushions on the beds and plenty of towels.  Owing to the altitude, the pool water was refreshingly cool.  Nine arch bridge is a 20 minute walk away and Little Adam's Peak is very close by too.  In fact, you look onto it from your room.  There is also a zip wire minutes away.  Ella town is a 5 minute tuktuk ride away. Wifi wasn't brilliant as it kept dropping out.  I would definitely revisit this hotel in a heartbeat.",Date of stay: March 2020
Storyteller147359 wrote a review Mar 2020,/Profile/Storyteller147359,,1 contribution,A wildlife paradise with fantastic views,/ShowUserReviews-g616035-d2664481-r751845336-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"A short ride from Ella brought us to this interesting hotel. A warm welcome from the staff who were always prepared to assist us in any way. We had Premium Deluxe room which was well furnished, a huge bed, large bathroom and balcony with great views down the valley. We had bed and breakfast here on two days and evening drinks and can only praise everything very highly. We enjoyed the pool and grounds and walking up  Little Adams Peak. I enjoyed just sitting on the balcony and watching the wildlife, very relaxing.",Date of stay: March 2020
RL48 wrote a review Mar 2020,/Profile/RL48,"Oxford, United Kingdom",152 contributions,Great place to stay in tea country,/ShowUserReviews-g616035-d2664481-r751754763-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We enjoyed the slightly cooler temperatures in Ella and spent 2 nights here enjoying comfortable beds and great views. Good place to stay if you want to climb Little Adams Peak (or use the zip wire) which is very close. Staff were welcoming and helpful.  Food was generally good but service slightly haphazard and menus decidedly grubby and tatty which didn’t give a good impression. It was a shame that the pool, bar and restaurant were so far from our room - although we could always phone for a buggy - it stopped us going up to that end of the site as often as we wanted. It was a nice touch that staff gave us some Halpe tea when we left.",Date of stay: March 2020
Tim M wrote a review Mar 2020,/Profile/timmA5505OK,"Canterbury, United Kingdom",4 contributions,Right in the middle of a tea garden,/ShowUserReviews-g616035-d2664481-r751672241-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,Lovely eco hotel outside Ella. Our own thatched cottage near the restaurant with an extensive menu. Really good views over the valley to Little Adams peak.  Nice pool with plenty of sun loungers. Lots to do if not curtailed by the virus. Remember it is built on a steep hill side so there are lots of steps to everywhere although there were electric buggies if you needed them.,Date of stay: March 2020
Ces N wrote a review Mar 2020,/Profile/cesn2020,,7 contributions,Fantastic location ,/ShowUserReviews-g616035-d2664481-r751652769-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Stayed here for only one night, a basic error as should have been more. Great accommodation & breathtaking views. An excellent place to relax & take in life as it should be. Staff were polite, helpful & friendly. Not too far from Ella train station.",Date of stay: March 2020
Carmen M wrote a review Mar 2020,/Profile/CarmenM606,"Oxford, United Kingdom",67 contributions,Unique property with amazing views,/ShowUserReviews-g616035-d2664481-r751603636-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"This hotel has the most amazing setting as part of a tea plantation estate. There are 25 rooms/suites in separate 2 storey cottages. Located slightly outside of Ella centre, close to 9 Arch Bridge and Little Adam's Peak. We had a nice welcome and easy check-in on arrival. We stayed in a Honeymoon Deluxe room. We were wowed by the views when we got in, absolutely stunning. As we stayed in the last cottage of the row (Room 101) we had 180 degree views and it was fully glazed to make the most of the views of sunrise over the tea plantations, Little Adam's Peak and Ella Rock. Large and comfortable room with rustic furniture (handmade locally), and nice bathroom with huge tub facing the view. The shower was unusual, with a spout rather than a spray shower head, but we liked it. Good attention to sustainability and drinking water was supplied in glass bottles. There weren't many power sockets, but we managed to charge our devices anyway.The pool was a reasonable size, not good for swimming lengths but nice for a refreshing dip. Sitting by the pool you also have amazing views across the hills. The terrace restaurant had 360 degree views with a la carte service. The food and wine was nice, and reasonable price for a Boutique hotel, with some main courses below LKR 2000.Buffet breakfast also had a good choice and was nice, even better to enjoy it with the view. We really enjoyed our stay at this special place and would have liked to stay longer.",Date of stay: March 2020
